SurveySeason,SubRegion,Region,TotalVolume,1,2,3,4,5,6,7,8,9,10,11,12,"NA"
SKT,Cache Slough and Liberty Island,North,75150,24.540848865224998,24.50777078344737,24.920492116357895,26.528067972741177,26.51491139653125,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Carquinez Strait,Far West,229610,6.6552153475499995,6.628263567228947,6.8218696006999995,7.382589604888235,7.519497383475,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Holland Cut,South,27520,6.484778008305883,6.449051985489474,6.222309775057894,7.699604378982353,6.3140448091875,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Honker Bay,West,123370,12.809614046075,12.154246672381579,12.393971511986843,15.1548321771,13.475402160989999,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Lower Napa River,Far West,38880,6.4768149060999995,6.57274211055,6.751205031725,6.7922444103088235,7.51336187448,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Lower Sacramento River,West,162460,19.63625293245,19.621231491197367,20.330225103244736,22.975654573138236,21.0974975008875,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Lower San Joaquin River,West,155410,18.826953054525,18.244224389889474,20.714988403421053,21.352365162635294,20.19007321485,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Mid Suisun Bay,West,222830,18.004636567225,19.823172539210525,20.67499918715,21.510806394679413,21.912272164715624,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Mildred Island,South,49950,6.215084734753125,6.232096073036842,6.23110297425,6.945613758794117,6.3661841397,NA,NA,NA,NA,NA,NA,NA,NA
SKT,North and South Forks Mokelumne River,South,49160,31.5699220606,30.456262615625,31.658831805410525,34.92840819454412,32.04500122824,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Old River,South,13760,6.314661796471875,6.174739685486842,6.062611597957894,7.215437964123529,6.847715380275,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Sacramento River near Rio Vista,North,85500,12.494674578925,13.250154202507895,13.137335549597369,14.376694980838236,14.306412181359375,NA,NA,NA,NA,NA,NA,NA,NA
SKT,Sacramento River near Ryde,North,17610,7.3533325548375,6.841985096925001,7.111615320276923,7.39319015655,7.3461161466,NA,NA,NA,NA,NA,NA,NA,NA
