Survey,Date,Station,Temp,TopEC,BottomEC,Secchi,Turbidity,Lat,Long,Comments
4,2010-02-17,705,13.89999962,221,239,64,22,38-06-10.3,121-42-28.4,
4,2010-02-17,706,13.80000019,263,267,56,28,38-05-07.6,121-44-54.8,
4,2010-02-17,707,13.39999962,276,272,42,34,38-07-04.7,121-42-13.3,
4,2010-02-17,711,13.10000038,213,210,49,29,38-10-34.8,121-39-38.4,
4,2010-02-17,716,14.19999981,417,416,32,46,38-14-20.8,121-41-05.7,
4,2010-02-17,723,14.10000038,353,354,38,43,38-14-17.5,121-40-21.5,
4,2010-02-17,812,12.30000019,225,226,50,32,38-05-22.3,121-38-24.4,
4,2010-02-17,815,12.39999962,230,232,62,19,38-05-08.8,121-34-20.8,
5,2010-03-01,501,12.60000038,1314,1472,31,29,38-04-24.1,122-01-34.4,
5,2010-03-01,504,12.60000038,639,715,53,263,38-03-02.9,121-59-02.1,
5,2010-03-01,508,12.39999962,396,417,39,28,38-02-46.2,121-55-14.1,
5,2010-03-01,513,12.19999981,293,271,40,25,38-03-33.0,121-52-12.3,
5,2010-03-01,519,12.30000019,812,1033,32,28,38-04-15.8,121-57-36.0,
5,2010-03-01,520,12.60000038,342,391,49,224,38-01-55.3,121-51-52.5,
5,2010-03-01,801,12.39999962,369,367,40,21,38-02-27.0,121-50-35.2,
5,2010-03-01,804,12.30000019,348,347,51,23,38-01-01.3,121-47-40.9,
5,2010-03-01,809,12.30000019,277,280,65,19,38-03-01.1,121-41-41.4,
5,2010-03-01,901,12.39999962,269,274,62,16,38-02-50.0,121-37-20.2,
5,2010-03-01,902,12.60000038,291,289,84,12,38-01-15.6,121-34-57.6,
5,2010-03-01,906,13.10000038,426,438,120,7,38-02-58.2,121-30-19.6,
5,2010-03-01,910,13.69999981,641,635,105,8,38-00-10.6,121-27-03.9,
5,2010-03-01,912,13.5,584,588,70,14,37-58-00.5,121-22-08.4,
5,2010-03-01,914,13,439,436,118,6,37-58-09.4,121-31-41.1,
5,2010-03-01,915,12.69999981,328,331,92,10,37-56-39.0,121-34-04.4,
5,2010-03-01,918,12.80000019,379,375,100,9,37-51-38.5,121-34-08.2,
5,2010-03-01,919,12.89999962,225,226,97,9,38-06-22.2,121-29-52.2,
5,2010-03-02,405,12.69999981,3643,3931,20,101,38-02-22.7,122-08-43.2,
5,2010-03-02,411,12.80000019,2699,2806,47,46,38-02-16.9,122-08-33.2,
5,2010-03-02,418,12.69999981,3157,3370,26,50,38-03-55.9,122-05-59.2,
5,2010-03-02,602,12.39999962,2154,2115,45,32,38-06-54.7,122-02-39.5,
5,2010-03-02,606,13.19999981,3683,3704,20,110,38-10-11.9,122-01-39.0,
5,2010-03-02,609,12.69999981,3196,3131,21,81,38-10-01.8,121-56-31.2,
5,2010-03-02,610,12.69999981,1566,1491,35,41,38-07-23.3,121-53-21.4,
5,2010-03-02,703,12.19999981,282,293,45,17,38-03-06.3,121-47-55.4,
5,2010-03-02,704,11.60000038,249,251,34,36,38-04-02.6,121-47-16.0,
5,2010-03-02,705,11.80000019,230,227,45,26,38-05-52.7,121-42-31.2,
5,2010-03-02,706,11.60000038,251,249,31,36,38-05-09.5,121-45-03.4,
5,2010-03-02,707,11.60000038,237,234,34,34,38-06-49.7,121-42-33.4,
5,2010-03-02,711,11.5,179,179,38,44,38-10-38.1,121-39-48.8,
5,2010-03-02,716,11.89999962,308,308,33,32,38-14-20.5,121-41-04.9,
5,2010-03-02,723,11.80000019,299,299,42,36,38-14-13.3,121-40-23.0,
5,2010-03-02,812,12.39999962,260,258,63,19,38-05-22.8,121-38-32.0,
5,2010-03-02,815,12.10000038,238,241,61,15,38-05-04.5,121-34-19.4,
6,2010-03-23,501,14.89999962,5450,5580,20,43,38-04-28.1,122-01-40.3,
6,2010-03-23,504,15.39999962,4007,6910,35,24,38-03-17.2,121-59-19.1,
6,2010-03-23,508,14.69999981,1517,4484,42,24,38-02-45.5,121-55-20.2,
6,2010-03-23,513,14.39999962,968,1371,45,19,38-03-51.8,121-52-10.9,
6,2010-03-23,519,16.20000076,1334,2180,35,23,38-04-29.5,121-57-37.3,
6,2010-03-23,520,14.60000038,4149,4460,45,17,38-01-56.3,121-52-06.8,
6,2010-03-23,801,14.30000019,514,544,50,16,38-02-25.1,121-50-37.8,
6,2010-03-23,804,14.39999962,386,431,55,16,38-01-07.3,121-47-59.6,
6,2010-03-23,809,14,278,275,86,11,38-03-06.3,121-41-40.4,
6,2010-03-23,901,14.19999981,274,274,102,8,38-02-39.4,121-36-46.7,
6,2010-03-23,902,14.30000019,281,279,50,16,38-01-09.4,121-34-56.5,
6,2010-03-23,906,15.10000038,280,281,121,5,38-03-04.5,121-30-36.0,
6,2010-03-23,910,15.30000019,470,495,136,5,38-00-03.9,121-26-56.2,
6,2010-03-23,912,15.80000019,822,829,100,6,37-57-57.8,121-22-05.6,
6,2010-03-23,914,15.10000038,400,402,161,4,37-58-08.9,121-31-41.8,
6,2010-03-23,915,14.89999962,299,302,118,7,37-56-30.7,121-33-41.0,
6,2010-03-23,918,15.30000019,351,351,102,6,37-51-40.7,121-34-09.8,
6,2010-03-23,919,15.80000019,232,243,144,4,38-06-18.9,121-29-35.9,
6,2010-03-24,405,14.69999981,22740,26720,76,14,38-02-20.0,122-08-45.9,
6,2010-03-24,411,14.60000038,14680,15450,67,13,38-03-01.4,122-04-52.5,
6,2010-03-24,418,14.39999962,18320,23880,62,15,38-03-57.6,122-05-47.4,
6,2010-03-24,602,14.60000038,6956,8350,38,276,38-06-58.3,122-02-22.3,
6,2010-03-24,606,15.5,3415,3473,32,348,38-10-09.9,122-01-30.1,
6,2010-03-24,609,15.19999981,3517,3475,34,41,38-10-02.3,121-56-12.9,
6,2010-03-24,610,14.39999962,1721,1715,39,255,38-07-16.2,121-53-18.3,
6,2010-03-24,703,14.89999962,310,316,59,13,38-03-01.9,121-47-51.7,
6,2010-03-24,704,14.89999962,273,308,51,15,38-04-01.1,121-47-14.3,
6,2010-03-24,705,14.69999981,249,248,99,9,38-06-06.0,121-42-30.0,
6,2010-03-24,706,14.69999981,253,254,32,15,38-05-10.2,121-44-58.1,
6,2010-03-24,707,14.80000019,247,247,74,12,38-07-06.3,121-42-09.7,
6,2010-03-24,711,14.89999962,226,222,127,8,38-10-34.5,121-39-36.5,
6,2010-03-24,716,14.89999962,316,315,65,20,38-14-20.4,121-41-05.7,
6,2010-03-24,723,15.10000038,298,306,41,18,38-14-19.6,121-40-21.4,
6,2010-03-24,812,14.30000019,263,243,128,7,38-05-22.3,121-38-21.8,
6,2010-03-24,815,14.39999962,245,248,135,5,38-05-07.3,121-34-17.9,
1,2011-01-18,501,9.100000381,291,345,49,16,38-04-16.9,122-01-13.3,
1,2011-01-18,504,9.199999809,152,480,54,15,38-03-067,121-59-092,
1,2011-01-18,508,8.699999809,346,417,54,15,38-02-450,121-55-109,
1,2011-01-18,513,8.800000191,196,193,57,18,38-03-299,121-52-139,
1,2011-01-18,519,8.800000191,93,117,51,20,38-04-272,121-57-338,
1,2011-01-18,520,8.899999619,320,132,51,16,38-01-557,121-52-037,
1,2011-01-18,703,9.300000191,193,269,58,16,38-03-033,121-47-564,
1,2011-01-18,704,9.399999619,190,193,52,16,38-04-051,121-47-085,
1,2011-01-18,705,9.399999619,179,183,54,12,38-06-019,121-42-308,
