SampleRowID,SampleDate,SurveyNumber,StationCode,MethodCode,WaterTemperature,BottomTemperature,ConductivityTop,ConductivityBottom,CableOut,DepthBottom,Secchi,SecchiEstimated,Turbidity,SampleTimeStart,SampleTimeEnd,MeterStart,MeterEnd,MeterDifference,TideCode,TowDirectionCode,WeatherCode,Microcystis,WaveCode,WindDirection,StartLatDegrees,StartLatMinutes,StartLatSeconds,StartLongDegrees,StartLongMinutes,StartLongSeconds,EndLatDegrees,EndLatMinutes,EndLatSeconds,EndLongDegrees,EndLongMinutes,EndLongSeconds,Gear,TowDuration
1276,1967-09-12,3,207,MWTR,17.79999924,,35200,,,,0.790000021,FALSE,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
1367,1967-09-12,3,210,MWTR,18.39999962,,35700,,,,0.899999976,FALSE,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
1567,1967-09-12,3,305,MWTR,19.60000038,,31000,,,,0.699999988,FALSE,,0.31,,,,,,,,,,,,,,,,,,,,,,,,
3190,1967-09-12,3,321,MWTR,19.79999924,,31000,,,,0.699999988,FALSE,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
3575,1967-09-12,3,323,MWTR,20.10000038,,24500,,,,0.850000024,FALSE,,0.37,,,,,,,,,,,,,,,,,,,,,,,,
3754,1967-09-12,3,324,MWTR,21.39999962,,22400,,,,0.899999976,FALSE,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
4271,1967-09-12,3,328,MWTR,20.20000076,,30500,,,,0.75,FALSE,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
5653,1967-09-12,3,338,MWTR,20.29999924,,19500,,,,0.75,FALSE,,0.36,,,,,,,,,,,,,,,,,,,,,,,,
4455,1967-09-13,3,416,MWTR,21,,7400,,,,0.25,FALSE,,0.57,,,,,,,,,,,,,,,,,,,,,,,,
6955,1967-09-13,3,405,MWTR,20.79999924,,7080,,,,0.689999998,FALSE,,0.43,,,,,,,,,,,,,,,,,,,,,,,,
8694,1967-09-13,3,414,MWTR,20.5,,5630,,,,0.200000003,FALSE,,0.44,,,,,,,,,,,,,,,,,,,,,,,,
8920,1967-09-13,3,415,MWTR,20.70000076,,7580,,,,0.25,FALSE,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
9452,1967-09-13,3,417,MWTR,21.10000038,,7880,,,,0.200000003,FALSE,,0.54,,,,,,,,,,,,,,,,,,,,,,,,
9635,1967-09-13,3,418,MWTR,21.10000038,,7450,,,,0.150000006,FALSE,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
11266,1967-09-15,3,603,MWTR,20.5,,6100,,,,0.180000007,FALSE,,0.33,,,,,,,,,,,,,,,,,,,,,,,,
12544,1967-09-15,3,515,MWTR,20.79999924,,5000,,,,0.180000007,FALSE,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
12770,1967-09-15,3,516,MWTR,20.79999924,,5000,,,,0.150000006,FALSE,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
13160,1967-09-15,3,518,MWTR,20.89999962,,3900,,,,0.200000003,FALSE,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
13569,1967-09-15,3,601,MWTR,20.70000076,,5200,,,,0.200000003,FALSE,,0.32,,,,,,,,,,,,,,,,,,,,,,,,
13772,1967-09-15,3,602,MWTR,20.60000038,,5560,,,,0.150000006,FALSE,,0.32,,,,,,,,,,,,,,,,,,,,,,,,
14164,1967-09-15,3,604,MWTR,20.60000038,,4400,,,,0.140000001,FALSE,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
14367,1967-09-15,3,605,MWTR,20.89999962,,3780,,,,0.200000003,FALSE,,0.36,,,,,,,,,,,,,,,,,,,,,,,,
14574,1967-09-15,3,606,MWTR,21.20000076,,3980,,,,0.150000006,FALSE,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
14776,1967-09-15,3,607,MWTR,21.29999924,,3600,,,,0.180000007,FALSE,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
7692,1967-09-16,3,409,MWTR,20,,4560,,,,0.200000003,FALSE,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
7896,1967-09-16,3,410,MWTR,20.10000038,,4630,,,,0.200000003,FALSE,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
8118,1967-09-16,3,411,MWTR,20.5,,2520,,,,0.180000007,FALSE,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
8322,1967-09-16,3,412,MWTR,20.5,,1730,,,,0.170000002,FALSE,,0.33,,,,,,,,,,,,,,,,,,,,,,,,
8494,1967-09-16,3,413,MWTR,20.60000038,,1180,,,,0.200000003,FALSE,,0.28,,,,,,,,,,,,,,,,,,,,,,,,
9855,1967-09-16,3,501,MWTR,20.70000076,,980,,,,0.25999999,FALSE,,0.25,,,,,,,,,,,,,,,,,,,,,,,,
10056,1967-09-16,3,502,MWTR,20.89999962,,960,,,,0.289999992,FALSE,,0.32,,,,,,,,,,,,,,,,,,,,,,,,
10262,1967-09-16,3,503,MWTR,20.79999924,,1260,,,,0.239999995,FALSE,,0.33,,,,,,,,,,,,,,,,,,,,,,,,
10462,1967-09-16,3,504,MWTR,20.89999962,,739,,,,0.300000012,FALSE,,0.33,,,,,,,,,,,,,,,,,,,,,,,,
10665,1967-09-16,3,505,MWTR,21.10000038,,1080,,,,0.239999995,FALSE,,0.31,,,,,,,,,,,,,,,,,,,,,,,,
10887,1967-09-16,3,506,MWTR,21,,1000,,,,0.25999999,FALSE,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
10913,1967-09-16,3,507,MWTR,21.10000038,,760,,,,0.25999999,FALSE,,0.37,,,,,,,,,,,,,,,,,,,,,,,,
11138,1967-09-16,3,508,MWTR,21.10000038,,826,,,,0.230000004,FALSE,,0.41,,,,,,,,,,,,,,,,,,,,,,,,
11521,1967-09-16,3,509,MWTR,21.20000076,,635,,,,0.219999999,FALSE,,0.47,,,,,,,,,,,,,,,,,,,,,,,,
11742,1967-09-16,3,510,MWTR,21.20000076,,600,,,,0.280000001,FALSE,,0.57,,,,,,,,,,,,,,,,,,,,,,,,
11942,1967-09-16,3,511,MWTR,21.20000076,,787,,,,0.219999999,FALSE,,0.53,,,,,,,,,,,,,,,,,,,,,,,,
9250,1967-09-17,3,704,MWTR,20.10000038,,189,,,,0.460000008,FALSE,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
11362,1967-09-17,3,708,MWTR,20.29999924,,196,,,,0.5,FALSE,,0.37,,,,,,,,,,,,,,,,,,,,,,,,
12139,1967-09-17,3,512,MWTR,20.60000038,,330,,,,0.239999995,FALSE,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
12329,1967-09-17,3,513,MWTR,20.89999962,,415,,,,0.300000012,FALSE,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
12522,1967-09-17,3,514,MWTR,20.39999962,,266,,,,0.319999993,FALSE,,0.27,,,,,,,,,,,,,,,,,,,,,,,,
15026,1967-09-17,3,701,MWTR,20.10000038,,196,,,,0.379999995,FALSE,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
15248,1967-09-17,3,702,MWTR,20.20000076,,183,,,,0.400000006,FALSE,,0.32,,,,,,,,,,,,,,,,,,,,,,,,
15281,1967-09-17,3,703,MWTR,20.10000038,,188,,,,0.400000006,FALSE,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
15648,1967-09-17,3,705,MWTR,20.10000038,,189,,,,0.479999989,FALSE,,0.41,,,,,,,,,,,,,,,,,,,,,,,,
15874,1967-09-17,3,706,MWTR,20.20000076,,195,,,,0.460000008,FALSE,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
16067,1967-09-17,3,707,MWTR,20.20000076,,192,,,,0.5,FALSE,,0.47,,,,,,,,,,,,,,,,,,,,,,,,
16405,1967-09-17,3,709,MWTR,20.39999962,,192,,,,0.50999999,FALSE,,0.28,,,,,,,,,,,,,,,,,,,,,,,,
16620,1967-09-17,3,710,MWTR,20.29999924,,194,,,,0.5,FALSE,,0.38,,,,,,,,,,,,,,,,,,,,,,,,
14798,1967-09-18,3,608,MWTR,20.20000076,,309,,,,0.300000012,FALSE,,0.28,,,,,,,,,,,,,,,,,,,,,,,,
16665,1967-09-18,3,803,MWTR,21.10000038,,244,,,,0.400000006,FALSE,,0.43,,,,,,,,,,,,,,,,,,,,,,,,
16686,1967-09-18,3,804,MWTR,21.39999962,,207,,,,0.460000008,FALSE,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
18226,1967-09-18,3,801,MWTR,20.60000038,,401,,,,0.300000012,FALSE,,0.41,,,,,,,,,,,,,,,,,,,,,,,,
18247,1967-09-18,3,802,MWTR,20.79999924,,401,,,,0.300000012,FALSE,,0.36,,,,,,,,,,,,,,,,,,,,,,,,
18670,1967-09-18,3,805,MWTR,21.39999962,,189,,,,0.419999987,FALSE,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
18694,1967-09-18,3,806,MWTR,21.29999924,,190,,,,0.409999996,FALSE,,0.32,,,,,,,,,,,,,,,,,,,,,,,,
18893,1967-09-18,3,807,MWTR,21.60000038,,189,,,,0.5,FALSE,,0.33,,,,,,,,,,,,,,,,,,,,,,,,
19092,1967-09-18,3,808,MWTR,22.10000038,,182,,,,0.449999988,FALSE,,0.36,,,,,,,,,,,,,,,,,,,,,,,,
19288,1967-09-18,3,809,MWTR,21.79999924,,189,,,,0.479999989,FALSE,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
19489,1967-09-18,3,810,MWTR,21.79999924,,190,,,,0.519999981,FALSE,,0.39,,,,,,,,,,,,,,,,,,,,,,,,
19714,1967-09-18,3,811,MWTR,21.79999924,,191,,,,0.550000012,FALSE,,0.48,0.488888889,,,,,,,,,,,,,,,,,,,,,,,
19908,1967-09-18,3,812,MWTR,22.10000038,,204,,,,0.529999971,FALSE,,0.31,0.313888889,,,,,,,,,,,,,,,,,,,,,,,
20102,1967-09-18,3,813,MWTR,21.60000038,,204,,,,0.540000021,FALSE,,0.31,0.315972222,,,,,,,,,,,,,,,,,,,,,,,
20288,1967-09-18,3,814,MWTR,21.60000038,,200,,,,0.5,FALSE,,0.33,0.3375,,,,,,,,,,,,,,,,,,,,,,,
20478,1967-09-19,3,815,MWTR,20.70000076,,199,,,,0.479999989,FALSE,,0.33,0.336805556,,,,,,,,,,,,,,,,,,,,,,,
20845,1967-09-19,3,903,MWTR,19.70000076,,204,,,,0.479999989,FALSE,,0.35,0.35625,,,,,,,,,,,,,,,,,,,,,,,
21051,1967-09-19,3,904,MWTR,20.89999962,,199,,,,0.5,FALSE,,0.34,0.343055556,,,,,,,,,,,,,,,,,,,,,,,
21235,1967-09-19,3,905,MWTR,21.29999924,,199,,,,0.439999998,FALSE,,0.4,0.40625,,,,,,,,,,,,,,,,,,,,,,,
21406,1967-09-19,3,906,MWTR,23.10000038,,236,,,,0.400000006,FALSE,,0.36,0.367361111,,,,,,,,,,,,,,,,,,,,,,,
21590,1967-09-19,3,907,MWTR,21.89999962,,165,,,,0.569999993,FALSE,,0.33,0.3375,,,,,,,,,,,,,,,,,,,,,,,
21608,1967-09-19,3,908,MWTR,22.20000076,,215,,,,0.379999995,FALSE,,0.32,0.320833333,,,,,,,,,,,,,,,,,,,,,,,
21812,1967-09-19,3,909,MWTR,23.39999962,,484,,,,0.400000006,FALSE,,0.39,0.399305556,,,,,,,,,,,,,,,,,,,,,,,
21993,1967-09-19,3,910,MWTR,24.29999924,,583,,,,0.379999995,FALSE,,0.33,0.332638889,,,,,,,,,,,,,,,,,,,,,,,
22194,1967-09-19,3,911,MWTR,24.60000038,,605,,,,0.370000005,FALSE,,0.33,0.340277778,,,,,,,,,,,,,,,,,,,,,,,
22344,1967-09-19,3,912,MWTR,24.39999962,,605,,,,0.409999996,FALSE,,0.38,0.382638889,,,,,,,,,,,,,,,,,,,,,,,
20630,1967-09-20,3,901,MWTR,21.70000076,,192,,,,0.409999996,FALSE,,0.43,0.440277778,,,,,,,,,,,,,,,,,,,,,,,
20652,1967-09-20,3,902,MWTR,23.20000076,,205,,,,0.50999999,FALSE,,0.38,0.386111111,,,,,,,,,,,,,,,,,,,,,,,
22527,1967-09-20,3,913,MWTR,23.29999924,,479,,,,0.360000014,FALSE,,0.33,0.336805556,,,,,,,,,,,,,,,,,,,,,,,
22663,1967-09-20,3,914,MWTR,23.10000038,,288,,,,0.460000008,FALSE,,0.36,0.363888889,,,,,,,,,,,,,,,,,,,,,,,
1277,1967-10-18,4,207,MWTR,16.70000076,,40090,,,,0.99000001,FALSE,,0.37,0.372916667,,,,,,,,,,,,,,,,,,,,,,,
1368,1967-10-18,4,210,MWTR,17,,35460,,,,0.99000001,FALSE,,0.36,0.361805556,,,,,,,,,,,,,,,,,,,,,,,
